condition_id,frame_count,iqr_ms,maximum_ms,median_ms,metric,minimum_ms,modality,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,primary_range_ms,sample_count,width_ms
clear,229,0.24082553386688232,2.2158474922180176,1.6552540063858032,horizontal_gradient_mean,1.5429587364196777,image,0.3991583545650548,1.5429587364196777,0.6607084655761719,1.546485185623169,1.6320381164550781,1.6552540063858032,1.5742250204086303,1.8728636503219604,2.1790328502655028,2.2036672019958496,0.6607084655761719,229,0.6607084655761719
clear,229,0.0,900.0,900.0,image_height,900.0,image,0.0,900.0,0.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,0.0,229,0.0
clear,229,0.0,1600.0,1600.0,image_width,1600.0,image,0.0,1600.0,0.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,0.0,229,0.0
clear,229,1918.0,124250.0,121789.0,jpeg_bytes,118688.0,image,0.041580109862138614,118688.0,5064.0,118900.2,120708.0,121789.0,119651.8,122626.0,123566.4,123752.0,5064.0,229,5064.0
clear,229,1.9004364013671875,103.57286834716797,100.83509826660156,luminance_mean,97.85895538330078,image,0.054282657537177724,97.85895538330078,5.473597106933596,98.01033172607421,99.77216339111328,100.83509826660156,98.46481475830078,101.67259979248047,102.32676391601562,103.33255249023438,5.473597106933596,229,5.473597106933596
clear,229,2.0068359375,65.75382995605469,61.71021270751953,luminance_std,56.406837463378906,image,0.14937021673167064,56.406837463378906,9.217667846679689,56.99270874023438,60.78234100341797,61.71021270751953,60.01550369262695,62.78917694091797,64.66515197753907,65.6245053100586,9.217667846679689,229,9.217667846679689
clear,229,0.35563182830810547,2.458425998687744,2.2907495498657227,vertical_gradient_mean,1.8090009689331055,image,0.2811775647630645,1.8090009689331055,0.6441073799133301,1.8171883010864258,2.0220301151275635,2.2907495498657227,1.8356032848358155,2.377661943435669,2.4399876594543457,2.4531083488464356,0.6441073799133301,229,0.6441073799133301
clear,384,2.2532176971435547,17.283349990844727,15.271198272705078,intensity_mean,12.896149635314941,lidar,0.2858781083783612,12.896149635314941,4.3657012748718245,12.966352434158326,14.538695812225342,15.271198272705078,13.104885959625244,16.791913509368896,17.230863094329834,17.261850910186766,4.3657012748718245,384,4.3657012748718245
clear,384,2.760871410369873,23.31941032409668,20.7785062789917,intensity_std,16.643112182617188,lidar,0.31499381099817925,16.643112182617188,6.545100879669192,16.948088455200196,19.361149787902832,20.7785062789917,17.186464023590087,22.122021198272705,22.738448238372804,23.18821306228638,6.545100879669192,384,6.545100879669192
clear,384,64.0,34784.0,34720.0,point_count,34528.0,lidar,0.007373271889400922,34528.0,256.0,34656.0,34688.0,34720.0,34688.0,34752.0,34752.0,34784.0,256.0,384,256.0
clear,384,3822.0,17124.0,15549.0,points_0_5m,12000.0,lidar,0.32824297382468315,12000.0,5103.8499999999985,12078.13,12925.75,15549.0,12336.7,16747.75,17046.55,17103.85,5103.8499999999985,384,5103.8499999999985
clear,384,1309.25,3934.0,2100.0,points_20_40m,1914.0,lidar,0.9279809523809525,1914.0,1948.7600000000002,1959.13,2042.0,2100.0,2003.3,3351.25,3759.85,3862.76,1948.7600000000002,384,1948.7600000000002
clear,384,154.0,1245.0,682.0,points_40m_plus,428.0,lidar,1.1691202346041059,428.0,797.3400000000001,443.83,626.75,682.0,462.15,780.75,1193.1,1225.3400000000001,797.3400000000001,384,797.3400000000001
clear,384,2549.75,18570.0,16422.0,points_5_20m,14844.0,lidar,0.2244391669711364,14844.0,3685.7400000000016,14863.83,15251.25,16422.0,14909.3,17801.0,18459.5,18529.74,3685.7400000000016,384,3685.7400000000016
clear,384,1.7877411842346191,10.648557662963867,8.409072399139404,range_mean_m,7.875618934631348,lidar,0.3224609586913101,7.875618934631348,2.7115975475311274,7.895879712104797,8.009451150894165,8.409072399139404,7.927081513404846,9.797192335128784,10.468824911117553,10.587216482162475,2.7115975475311274,384,2.7115975475311274
