adverse_median,clear_baseline_id,clear_median,condition_id,median_paired_change,median_ratio,metric,modality,sample_count
1.729813814163208,clear,1.6552540063858032,r7p5,0.06888473033905029,1.045044330048295,horizontal_gradient_mean,image,229
900.0,clear,900.0,r7p5,0.0,1.0,image_height,image,229
1600.0,clear,1600.0,r7p5,0.0,1.0,image_width,image,229
218677.0,clear,121789.0,r7p5,96969.0,1.7955398270779792,jpeg_bytes,image,229
100.3247299194336,clear,100.83509826660156,r7p5,-0.51361083984375,0.9949385843229053,luminance_mean,image,229
60.21975326538086,clear,61.71021270751953,r7p5,-1.3608474731445312,0.975847442801683,luminance_std,image,229
2.2544381618499756,clear,2.2907495498657227,r7p5,-0.043242454528808594,0.9841486870453056,vertical_gradient_mean,image,229
15.43269681930542,clear,15.271198272705078,r7p5,0.15921354293823242,1.0105753683317042,intensity_mean,lidar,384
20.580291748046875,clear,20.7785062789917,r7p5,-0.19750022888183594,0.9904605976828454,intensity_std,lidar,384
33186.5,clear,34720.0,r7p5,-1531.5,0.9558323732718894,point_count,lidar,384
15148.0,clear,15549.0,r7p5,-204.0,0.9742105601646408,points_0_5m,lidar,384
1668.0,clear,2100.0,r7p5,-448.0,0.7942857142857143,points_20_40m,lidar,384
619.0,clear,682.0,r7p5,-61.0,0.907624633431085,points_40m_plus,lidar,384
15721.5,clear,16422.0,r7p5,-731.5,0.9573438070880527,points_5_20m,lidar,384
8.096643447875977,clear,8.409072399139404,r7p5,-0.3716261386871338,0.9628462050944642,range_mean_m,lidar,384
9.266568183898926,clear,9.715469360351562,r7p5,-0.4392824172973633,0.9537952146414476,range_std_m,lidar,384
1.8371371030807495,clear,1.6552540063858032,r15,0.17817866802215576,1.1098822875481706,horizontal_gradient_mean,image,229
900.0,clear,900.0,r15,0.0,1.0,image_height,image,229
1600.0,clear,1600.0,r15,0.0,1.0,image_width,image,229
226097.0,clear,121789.0,r15,104416.0,1.8564648695695014,jpeg_bytes,image,229
100.34028625488281,clear,100.83509826660156,r15,-0.49205780029296875,0.9950928593294917,luminance_mean,image,229
59.379215240478516,clear,61.71021270751953,r15,-2.1235923767089844,0.9622267147564543,luminance_std,image,229
2.2371363639831543,clear,2.2907495498657227,r15,-0.06258678436279297,0.9765957889697234,vertical_gradient_mean,image,229
15.178975582122803,clear,15.271198272705078,r15,-0.09168529510498047,0.9939610049627141,intensity_mean,lidar,384
20.367989540100098,clear,20.7785062789917,r15,-0.39980030059814453,0.9802432025969712,intensity_std,lidar,384
33159.0,clear,34720.0,r15,-1559.5,0.9550403225806452,point_count,lidar,384
15237.5,clear,15549.0,r15,-111.0,0.9799665573348768,points_0_5m,lidar,384
1630.0,clear,2100.0,r15,-496.0,0.7761904761904762,points_20_40m,lidar,384
599.0,clear,682.0,r15,-81.0,0.8782991202346041,points_40m_plus,lidar,384
15669.0,clear,16422.0,r15,-781.5,0.9541468761417611,points_5_20m,lidar,384
8.020203113555908,clear,8.409072399139404,r15,-0.4495205879211426,0.953755983166075,range_mean_m,lidar,384
